distance_km,num_stops,traffic,weather,pickup_hour,day_of_week,package_size,delivery_experience_years,delivery_time_min
12.77,2,moderate,rainy,13,5,small,9,48.8
1.73,1,heavy,sunny,17,3,small,5,23.5
15.07,0,very_heavy,sunny,14,1,small,3,58.4
10.23,5,low,rainy,20,1,medium,0,47.5
4.76,2,moderate,sunny,15,1,small,6,18.7
3.55,4,low,sunny,20,2,large,9,35.2
17.84,1,moderate,sunny,12,4,small,9,50.0
5.53,5,low,rainy,20,4,medium,8,30.1
27.79,5,heavy,sunny,17,5,small,0,141.1
17.64,1,moderate,rainy,18,0,medium,8,72.8
10.73,2,moderate,sunny,7,3,medium,7,45.3
17.93,4,low,sunny,19,5,medium,9,69.0
1.17,1,moderate,sunny,9,1,large,1,24.1
28.78,0,moderate,sunny,21,4,small,9,66.2
14.73,1,moderate,sunny,9,0,small,7,42.5
23.59,3,moderate,rainy,19,6,small,8,100.2
2.94,0,low,sunny,16,5,medium,1,10.1
14.86,2,moderate,sunny,12,4,medium,9,44.6
14.98,5,heavy,windy,20,4,small,0,108.5
28.17,0,low,sunny,12,4,medium,2,74.1
17.37,0,moderate,sunny,7,2,small,1,58.9
14.47,2,low,sunny,8,6,large,2,55.9
8.38,0,heavy,sunny,19,1,small,6,42.8
10.28,0,low,windy,12,5,large,10,40.8
15.86,1,moderate,windy,19,5,medium,10,55.1
13.45,0,moderate,sunny,7,5,large,1,50.0
1.14,4,low,windy,8,0,medium,10,19.3
24.88,0,moderate,sunny,21,3,small,1,49.4
26.94,3,moderate,snowy,9,4,medium,8,120.4
4.64,4,moderate,rainy,17,4,small,2,46.2
16.84,3,very_heavy,sunny,12,4,small,9,75.2
3.7,3,moderate,sunny,14,4,small,3,26.7
20.33,2,heavy,rainy,8,1,large,9,88.9
8.8,5,moderate,sunny,11,5,medium,5,41.7
19.95,0,low,sunny,18,3,small,5,66.6
21.95,0,low,rainy,15,6,medium,4,64.2
23.18,5,moderate,sunny,14,3,small,2,64.5
3.68,0,moderate,sunny,21,3,small,5,30.5
27.52,1,heavy,sunny,13,4,small,7,114.4
7.29,1,moderate,rainy,19,6,small,1,39.1
1.6,0,moderate,sunny,17,6,medium,1,25.3
16.87,0,moderate,sunny,13,4,small,4,52.1
11.44,3,moderate,sunny,11,3,small,9,41.8
24.98,3,moderate,sunny,12,0,small,3,83.7
24.34,0,low,rainy,20,0,large,4,66.1
9.86,5,low,sunny,11,5,medium,10,34.8
28.61,0,moderate,rainy,16,2,small,2,52.4
9.08,4,low,sunny,8,3,medium,4,46.3
15.69,4,moderate,rainy,12,4,small,9,77.5
8.05,3,low,sunny,21,1,large,5,44.4
28.11,2,low,rainy,15,2,small,1,82.7
5.36,0,heavy,sunny,19,0,small,2,33.5
1.82,1,very_heavy,windy,10,5,small,10,21.8
13.34,5,moderate,sunny,18,3,small,8,47.2
29.78,2,moderate,sunny,21,1,small,10,77.8
26.8,0,heavy,sunny,20,4,medium,5,67.9
22.58,4,low,sunny,13,1,small,6,71.7
26.78,4,moderate,sunny,17,5,small,1,90.4
26.86,0,low,rainy,20,1,medium,7,83.5
15.81,0,moderate,rainy,19,1,medium,6,37.3
9.82,0,very_heavy,rainy,21,6,large,0,62.5
23.27,0,heavy,snowy,7,5,small,9,98.9
20.02,3,very_heavy,sunny,15,4,large,4,121.2
11.52,0,heavy,sunny,18,4,medium,10,50.7
3.29,3,moderate,rainy,17,3,medium,9,51.8
22.53,1,heavy,sunny,9,1,small,4,96.3
8.24,5,moderate,sunny,15,2,small,0,45.6
28.14,4,moderate,sunny,9,6,small,1,79.5
7.61,2,low,sunny,8,6,medium,3,35.5
4.12,2,moderate,sunny,8,5,medium,3,35.3
25.02,0,low,sunny,21,6,small,3,63.0
5.02,0,moderate,sunny,11,5,small,10,23.4
5.79,3,low,rainy,13,2,large,7,26.4
18.18,0,moderate,windy,10,5,small,2,69.7
26.3,3,low,sunny,20,5,medium,7,81.8
6.29,2,low,sunny,20,0,large,0,25.4
9.65,0,moderate,sunny,16,6,small,0,40.2
23.43,3,low,sunny,19,3,medium,7,82.9
29.17,3,very_heavy,sunny,8,2,medium,2,107.3
15.27,4,moderate,rainy,21,3,small,4,65.8
4.74,1,moderate,rainy,13,2,small,9,19.3
0.91,3,low,sunny,13,2,large,4,27.5
7.27,5,heavy,rainy,9,3,small,2,71.2
4.39,1,moderate,rainy,20,6,small,10,25.9
20.49,5,moderate,windy,9,2,small,3,84.7
4.09,4,low,sunny,19,1,medium,7,34.4
15.44,2,heavy,rainy,17,5,small,1,95.2
20.98,5,heavy,rainy,18,2,small,1,92.3
17.64,5,moderate,sunny,7,3,small,8,65.2
6.39,1,low,rainy,18,1,small,9,15.3
24.22,5,low,rainy,21,1,medium,0,97.7
21.6,0,low,sunny,12,1,large,10,60.4
22.3,0,heavy,sunny,13,2,small,3,53.3
4.37,0,very_heavy,sunny,8,6,medium,10,38.0
4.15,2,very_heavy,rainy,14,4,medium,5,63.6
27.86,5,heavy,sunny,17,4,medium,8,117.4
12.23,3,low,sunny,11,0,medium,0,55.7
9.38,3,very_heavy,sunny,18,0,small,1,71.5
14.91,0,moderate,rainy,8,2,medium,10,38.1
20.05,3,moderate,rainy,17,6,medium,1,66.8
28.69,2,moderate,sunny,15,0,medium,9,103.6
8.95,2,low,sunny,10,5,small,1,39.1
27.78,1,heavy,sunny,12,5,small,7,78.1
1.23,1,very_heavy,sunny,10,1,small,4,27.3
16.88,5,heavy,rainy,16,0,small,4,97.0
19.2,3,heavy,sunny,16,1,small,7,73.4
3.62,2,moderate,rainy,15,0,small,1,39.6
4.64,0,low,rainy,9,5,small,3,30.3
12.86,4,heavy,windy,10,5,small,6,94.6
29.0,2,moderate,sunny,19,4,large,3,117.0
18.08,2,heavy,sunny,13,0,medium,2,81.9
28.02,4,low,sunny,13,6,small,0,71.9
24.23,0,moderate,windy,11,4,medium,7,51.0
14.29,3,moderate,rainy,20,5,small,0,60.4
23.65,5,moderate,rainy,10,2,small,1,115.2
1.03,2,heavy,rainy,18,1,medium,2,39.6
3.72,0,very_heavy,sunny,18,5,small,7,35.5
24.97,1,low,rainy,10,0,medium,1,85.7
24.01,0,moderate,rainy,7,1,small,3,82.6
7.36,3,low,sunny,10,1,small,0,23.4
16.16,2,low,windy,11,0,small,5,58.2
18.38,0,moderate,windy,18,3,small,1,52.9
26.1,4,moderate,windy,14,1,medium,1,99.5
18.29,1,moderate,rainy,13,6,small,3,73.3
12.67,2,moderate,sunny,14,6,small,2,42.4
11.54,5,moderate,sunny,21,1,small,0,58.4
13.06,0,heavy,sunny,21,5,medium,4,51.0
19.73,1,low,rainy,7,0,medium,5,70.6
26.09,1,moderate,sunny,19,2,medium,5,69.9
13.89,3,heavy,windy,12,4,medium,4,58.8
7.81,1,heavy,sunny,18,1,large,10,49.7
7.48,5,heavy,sunny,21,0,small,3,52.2
22.51,0,low,sunny,14,1,medium,3,40.4
24.59,5,moderate,rainy,16,4,small,5,86.0
3.61,3,heavy,sunny,13,1,small,0,34.5
2.46,0,moderate,sunny,8,1,medium,10,18.5
18.04,0,moderate,sunny,7,1,large,5,42.7
4.81,0,very_heavy,sunny,12,6,medium,7,27.2
24.83,1,low,windy,19,6,small,3,61.0
9.65,1,heavy,sunny,12,5,medium,7,49.7
4.74,3,heavy,sunny,13,0,small,9,27.9
27.67,1,low,sunny,14,1,medium,6,71.4
5.38,4,heavy,sunny,11,6,small,2,49.3
8.9,1,moderate,sunny,14,3,small,7,31.7
5.03,1,heavy,sunny,16,0,small,9,32.6
3.91,1,heavy,sunny,19,1,large,7,34.6
1.12,1,heavy,sunny,18,5,small,7,10.7
2.13,5,low,sunny,19,6,small,5,43.2
5.65,1,heavy,rainy,14,2,small,2,35.3
2.07,1,heavy,sunny,17,1,small,7,33.6
17.94,5,moderate,rainy,9,0,small,4,60.3
20.58,3,moderate,rainy,9,1,medium,2,82.5
12.11,1,low,windy,20,5,small,5,37.8
9.88,5,heavy,sunny,16,5,small,0,66.1
15.38,1,low,rainy,8,1,small,5,43.2
26.31,0,moderate,windy,13,6,small,6,87.4
25.61,2,heavy,snowy,21,6,medium,4,90.7
1.78,4,heavy,rainy,7,6,small,7,33.7
5.85,1,very_heavy,sunny,13,5,medium,6,52.1
7.48,4,moderate,windy,19,4,small,4,34.2
7.86,0,low,rainy,21,6,small,7,21.7
17.35,4,moderate,sunny,12,4,small,1,53.3
12.78,0,low,sunny,20,5,medium,5,34.6
1.95,2,heavy,windy,17,2,small,1,36.5
11.52,3,moderate,sunny,13,1,medium,6,48.9
15.95,1,moderate,rainy,18,4,medium,0,61.5
3.5,3,low,sunny,19,2,small,9,20.1
25.09,4,moderate,rainy,11,2,small,0,79.8
2.03,3,heavy,sunny,8,4,small,5,37.4
27.78,2,heavy,rainy,18,4,small,7,147.8
3.42,4,low,sunny,8,2,small,4,40.8
25.39,4,low,windy,18,1,medium,2,68.4
27.13,1,moderate,sunny,12,3,medium,2,100.3
29.4,4,low,sunny,17,2,medium,9,83.6
24.16,5,heavy,sunny,16,1,small,1,112.8
23.49,4,moderate,sunny,7,1,small,7,66.7
19.45,4,low,snowy,7,4,medium,3,99.0
23.48,4,heavy,sunny,16,2,small,0,75.3
4.47,4,moderate,sunny,14,2,medium,4,45.1
16.31,1,low,rainy,7,0,medium,1,59.8
15.67,4,moderate,sunny,21,0,small,8,58.5
25.8,1,low,sunny,10,4,small,8,52.9
14.15,2,moderate,rainy,19,6,medium,2,63.1
11.86,5,heavy,sunny,8,2,medium,8,71.7
19.37,1,heavy,rainy,10,5,small,7,102.5
8.36,5,moderate,rainy,14,4,small,7,44.4
4.62,2,moderate,sunny,14,2,small,0,24.0
14.6,1,low,sunny,16,3,medium,1,43.2
12.8,0,moderate,windy,9,0,small,1,44.1
7.36,3,low,sunny,10,2,medium,8,51.6
11.34,2,moderate,rainy,10,5,large,3,60.6
11.31,3,low,sunny,13,5,large,5,33.6
10.16,0,heavy,sunny,20,1,small,5,45.5
11.69,1,heavy,rainy,13,6,small,10,50.0
20.73,0,moderate,sunny,21,4,large,1,56.4
9.26,1,heavy,sunny,10,1,medium,8,40.9
28.49,5,low,sunny,10,5,small,1,81.7
27.53,0,heavy,rainy,8,6,medium,10,92.5
14.69,4,low,rainy,10,1,medium,6,70.6
10.19,0,low,sunny,11,0,medium,2,30.7
16.3,3,moderate,sunny,12,1,large,4,70.0
25.53,5,moderate,windy,17,5,large,8,83.7
19.75,2,moderate,sunny,13,0,medium,4,52.0
24.23,1,moderate,sunny,17,2,small,0,81.1
16.22,3,low,sunny,8,2,medium,3,36.0
19.17,1,low,sunny,21,0,medium,10,51.7
9.0,5,moderate,sunny,9,4,medium,4,53.7
22.18,5,moderate,rainy,7,5,small,5,86.3
6.47,3,low,rainy,13,1,medium,2,51.3
21.0,3,moderate,sunny,16,6,medium,0,64.1
25.89,3,moderate,sunny,10,6,large,2,61.6
4.4,4,moderate,sunny,9,6,medium,9,36.2
18.62,2,heavy,sunny,19,5,small,5,73.6
3.31,5,moderate,rainy,19,3,medium,4,52.6
21.91,2,moderate,sunny,18,1,medium,5,86.5
2.99,0,moderate,windy,10,6,medium,8,20.1
28.11,4,moderate,sunny,15,3,small,9,93.2
4.55,3,low,sunny,17,3,medium,3,38.5
28.79,5,low,snowy,13,2,medium,9,116.2
24.13,2,heavy,sunny,9,1,small,8,97.7
18.01,2,low,sunny,19,2,large,0,65.5
23.59,3,moderate,sunny,21,5,large,9,67.3
23.96,2,moderate,windy,9,3,medium,2,73.9
28.41,4,moderate,sunny,17,2,large,8,75.9
7.97,2,heavy,sunny,20,0,small,9,38.4
17.91,4,moderate,sunny,15,2,large,6,75.4
3.3,2,low,sunny,7,1,large,3,25.6
18.68,1,heavy,sunny,17,2,medium,9,71.5
5.55,5,moderate,sunny,20,1,small,5,27.3
17.17,3,moderate,windy,10,6,small,8,54.4
17.39,4,heavy,rainy,9,1,small,7,88.5
14.25,3,moderate,sunny,10,0,medium,3,46.0
15.92,2,moderate,sunny,19,4,medium,5,63.9
23.04,5,very_heavy,sunny,15,2,medium,2,111.6
24.08,2,moderate,sunny,7,6,medium,0,74.1
15.02,5,moderate,rainy,15,2,small,7,73.2
18.19,2,low,sunny,19,4,small,2,53.4
27.97,0,low,rainy,9,5,medium,5,93.5
4.03,0,moderate,sunny,15,6,small,1,25.1
3.95,5,moderate,rainy,10,5,large,7,45.7
3.09,3,moderate,windy,7,4,large,1,33.0
19.91,2,heavy,rainy,13,5,small,2,105.3
12.85,4,low,windy,18,1,medium,1,66.0
23.34,3,heavy,rainy,17,6,medium,10,122.4
20.3,3,heavy,sunny,8,6,large,6,96.2
10.34,4,heavy,sunny,9,2,medium,7,76.4
27.0,1,heavy,sunny,15,0,large,4,102.2
22.99,0,heavy,windy,11,4,medium,9,66.4
8.48,4,low,sunny,11,0,small,0,50.2
11.24,0,moderate,windy,13,0,medium,4,47.0
9.78,4,very_heavy,sunny,18,6,medium,0,70.2
5.15,0,moderate,rainy,15,3,large,7,23.2
4.86,1,low,sunny,19,4,small,10,30.6
28.12,4,very_heavy,windy,8,6,small,8,148.9
13.42,3,low,sunny,13,6,medium,1,55.7
11.81,4,moderate,sunny,15,6,large,8,49.5
22.03,3,low,windy,18,0,medium,2,80.3
16.81,0,moderate,sunny,14,2,small,3,42.8
28.12,5,moderate,sunny,20,5,large,6,63.1
23.52,1,moderate,windy,19,0,medium,4,75.3
14.64,0,heavy,rainy,17,1,large,2,71.1
11.6,5,moderate,sunny,12,3,medium,5,50.5
29.61,1,moderate,sunny,11,2,small,2,86.5
21.67,3,heavy,sunny,15,1,large,7,91.6
28.56,2,heavy,sunny,13,6,small,0,105.7
4.0,4,low,rainy,7,3,large,8,40.7
25.59,0,low,sunny,10,2,small,10,45.4
19.29,0,moderate,sunny,19,4,medium,8,53.2
4.1,2,heavy,sunny,13,4,small,6,35.4
17.85,2,moderate,windy,21,3,small,4,62.4
20.74,4,low,sunny,10,6,large,5,74.6
0.86,3,heavy,sunny,21,2,small,5,36.6
13.9,0,moderate,windy,19,6,small,9,51.1
24.85,5,moderate,rainy,12,6,large,1,95.3
9.21,2,heavy,sunny,16,0,small,6,35.0
14.03,5,heavy,windy,21,5,medium,6,84.0
13.55,5,moderate,sunny,16,1,large,2,59.6
9.41,0,moderate,sunny,20,3,small,4,20.0
27.59,3,moderate,sunny,8,6,small,5,108.7
23.55,2,moderate,sunny,9,1,medium,0,65.0
3.76,2,moderate,rainy,7,3,medium,5,30.2
29.91,1,heavy,sunny,11,5,small,1,100.0
26.44,3,moderate,windy,18,3,medium,4,74.5
8.88,2,moderate,sunny,21,0,small,3,45.6
25.19,1,low,sunny,15,0,small,8,49.0
3.64,1,heavy,sunny,13,3,small,10,34.8
29.97,0,moderate,sunny,20,0,large,1,96.2
20.14,5,moderate,windy,15,0,small,2,75.0
19.68,4,moderate,rainy,15,6,small,1,95.3
3.17,2,low,rainy,8,3,large,5,31.0
26.96,2,very_heavy,rainy,10,3,small,4,123.2
1.36,0,heavy,sunny,17,0,large,5,11.2
7.6,1,moderate,sunny,17,5,large,0,52.3
4.72,5,moderate,sunny,14,3,small,9,41.1
23.41,0,heavy,rainy,17,1,small,10,92.2
6.35,0,moderate,sunny,17,5,small,10,31.4
27.36,5,very_heavy,sunny,7,1,small,5,158.1
19.86,3,low,rainy,19,3,small,7,64.6
1.57,0,low,sunny,17,3,small,0,21.7
0.66,2,moderate,sunny,10,1,small,6,30.4
2.02,4,low,sunny,10,6,medium,6,25.9
18.37,2,moderate,sunny,21,4,small,8,46.0
24.14,2,heavy,sunny,10,2,small,8,70.3
7.54,3,low,windy,7,1,small,0,43.6
25.56,3,moderate,rainy,7,2,small,4,66.7
2.19,5,moderate,sunny,10,3,medium,5,35.3
24.13,1,heavy,rainy,16,3,medium,5,68.4
27.87,1,moderate,rainy,13,2,small,6,80.4
23.28,0,low,rainy,17,0,medium,7,81.4
21.09,3,moderate,windy,10,4,small,6,90.1
25.22,3,moderate,rainy,10,2,large,2,110.9
1.68,2,heavy,sunny,13,2,small,7,27.6
6.45,4,moderate,sunny,18,3,medium,6,27.5
4.19,2,low,sunny,14,5,small,2,22.2
15.38,1,heavy,sunny,18,0,small,6,51.5
22.48,3,moderate,windy,8,6,medium,5,75.4
19.09,2,low,rainy,13,4,small,8,43.6
25.61,2,moderate,sunny,13,3,medium,4,74.8
5.08,2,heavy,windy,8,0,medium,9,30.4
22.17,5,heavy,rainy,11,4,small,5,123.6
6.19,1,low,sunny,11,5,large,10,21.1
8.49,1,heavy,windy,13,3,small,1,50.0
21.44,3,low,sunny,9,5,large,1,91.2
29.42,0,moderate,sunny,11,5,small,2,53.2
18.54,0,moderate,sunny,21,5,small,8,64.4
2.11,3,low,windy,9,2,small,5,24.9
18.68,3,moderate,sunny,19,4,medium,7,70.7
1.75,3,heavy,sunny,15,0,medium,0,38.1
26.58,0,low,rainy,8,3,medium,4,89.8
21.43,5,heavy,windy,13,1,small,3,91.2
5.61,2,moderate,sunny,14,2,small,10,15.8
3.21,0,moderate,sunny,11,4,medium,1,14.4
5.91,1,low,windy,11,2,large,9,25.6
29.41,1,low,rainy,17,6,small,4,93.8
14.03,2,low,sunny,7,0,medium,8,56.4
23.63,2,moderate,sunny,20,6,medium,3,52.3
19.27,2,very_heavy,sunny,11,4,medium,0,119.0
17.39,2,heavy,rainy,12,3,medium,7,82.4
4.78,5,low,sunny,8,0,small,1,53.3
28.41,5,low,rainy,20,0,small,1,68.7
9.39,2,low,sunny,10,2,medium,10,36.7
17.55,5,very_heavy,rainy,19,4,large,2,138.0
21.14,4,low,sunny,11,3,medium,10,55.0
19.65,4,low,windy,7,2,small,3,70.9
28.25,1,moderate,sunny,13,4,small,3,78.4
4.88,2,moderate,sunny,14,4,small,4,35.6
15.5,2,low,sunny,14,2,medium,3,58.2
12.42,0,moderate,sunny,21,2,small,10,23.7
14.49,0,low,sunny,14,3,small,6,34.4
4.02,3,low,rainy,18,5,medium,8,39.2
4.46,2,low,windy,12,4,small,0,37.7
8.7,4,moderate,sunny,9,0,small,2,56.5
9.49,4,very_heavy,sunny,14,6,medium,6,53.7
13.12,0,moderate,sunny,15,1,small,5,53.8
18.52,5,heavy,rainy,13,4,small,10,88.2
19.22,2,moderate,sunny,18,0,small,7,57.3
12.65,3,heavy,sunny,21,1,small,3,48.5
12.56,5,very_heavy,sunny,8,3,large,4,118.0
6.92,3,moderate,sunny,8,5,medium,8,35.6
17.86,0,very_heavy,sunny,11,3,small,4,73.7
9.85,1,moderate,sunny,15,0,small,5,26.6
1.56,2,heavy,sunny,7,6,small,8,17.7
12.84,0,low,rainy,9,1,large,3,64.1
14.49,1,moderate,sunny,13,2,medium,1,48.0
7.15,4,moderate,rainy,12,0,medium,4,48.9
17.39,0,very_heavy,sunny,19,4,small,2,93.9
17.19,1,heavy,windy,15,3,large,6,89.5
21.21,3,moderate,rainy,20,1,medium,9,72.1
19.61,0,heavy,sunny,18,4,small,8,60.5
19.75,1,heavy,windy,13,1,small,8,65.4
9.83,5,moderate,sunny,21,3,small,5,42.2
23.73,3,low,sunny,19,4,medium,9,72.6
16.7,5,low,rainy,14,5,small,10,62.7
13.23,2,low,rainy,19,4,small,8,46.9
18.97,3,low,sunny,10,3,medium,1,63.5
11.14,1,very_heavy,sunny,10,0,medium,3,62.5
15.63,2,low,sunny,18,1,small,10,34.5
22.23,1,moderate,sunny,18,4,small,0,69.9
26.65,4,moderate,windy,10,3,small,6,85.2
27.67,1,moderate,sunny,18,3,small,7,64.5
15.36,1,low,snowy,14,5,medium,4,55.6
15.85,2,moderate,sunny,15,6,medium,7,42.9
24.1,2,moderate,rainy,19,3,large,0,112.1
9.78,1,moderate,windy,9,0,medium,2,38.8
25.2,2,low,rainy,13,3,medium,3,74.0
15.08,1,heavy,sunny,11,1,small,1,50.2
3.92,5,low,sunny,15,3,small,4,31.4
2.63,3,moderate,sunny,9,4,large,5,30.1
25.34,5,moderate,rainy,8,3,medium,10,93.6
2.14,5,low,snowy,17,4,large,5,67.5
8.78,3,heavy,sunny,7,2,medium,8,50.0
10.36,4,low,sunny,13,1,small,0,52.8
5.6,0,heavy,sunny,21,5,small,0,34.8
9.76,5,heavy,sunny,21,2,small,4,55.2
22.41,2,moderate,sunny,9,1,medium,3,74.2
0.93,4,moderate,sunny,20,6,large,10,21.1
24.9,1,low,rainy,12,0,medium,5,81.8
25.77,0,heavy,sunny,9,2,medium,5,114.1
11.48,5,moderate,rainy,14,5,small,9,53.2
5.03,2,low,sunny,14,2,small,9,29.5
18.22,0,moderate,sunny,12,5,small,8,42.7
4.03,3,low,rainy,13,2,large,4,44.9
11.27,0,moderate,rainy,8,4,medium,2,38.7
28.77,2,moderate,sunny,10,2,medium,0,96.2
29.87,4,low,rainy,9,3,large,0,105.3
23.28,4,heavy,sunny,20,3,small,8,75.6
9.67,2,low,sunny,14,6,large,1,21.6
20.79,2,moderate,windy,15,5,medium,4,65.0
21.31,5,moderate,windy,13,2,small,5,94.3
11.94,1,very_heavy,sunny,20,2,medium,6,70.4
19.41,0,moderate,windy,18,2,small,0,54.8
0.82,0,heavy,rainy,17,5,medium,5,25.4
6.67,4,moderate,sunny,11,4,small,2,29.9
15.99,2,heavy,sunny,11,3,small,3,69.2
5.33,0,low,sunny,21,3,medium,9,17.5
